;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
69;2023;20702;FERNANDOPOLIS;100.0;0.0;0.0;99.51;0.49;0.0;97.59;2.41;0.0;207022023
70;2023;10704;OSASCO;100.0;0.0;0.0;97.31;2.52;0.17;92.83;6.64;0.53;107042023
71;2023;20413;SAO JOAO DA BOA VISTA;99.56;0.44;0.0;97.58;2.39;0.03;93.09;6.84;0.07;204132023
72;2023;20711;VOTUPORANGA;100.0;0.0;0.0;99.9;0.1;0.0;99.2;0.66;0.14;207112023
73;2023;20307;SAO ROQUE;0.0;0.0;0.0;99.11;0.61;0.28;97.33;1.89;0.78;203072023
74;2023;21003;MARILIA;99.81;0.19;0.0;98.98;0.96;0.06;95.91;3.74;0.35;210032023
75;2023;20313;ITARARE;100.0;0.0;0.0;99.32;0.64;0.04;96.23;2.68;1.09;203132023
76;2023;20703;JALES;99.87;0.13;0.0;99.02;0.98;0.0;95.4;4.46;0.14;207032023
77;2023;20417;CAMPINAS LESTE;99.8;0.19;0.01;97.21;2.77;0.02;93.06;6.77;0.17;204172023
78;2023;20208;CARAGUATATUBA;97.44;2.56;0.0;97.88;2.12;0.0;96.37;3.59;0.04;202082023
79;2023;20302;AVARE;0.0;0.0;0.0;98.37;1.58;0.05;96.13;3.74;0.13;203022023
80;2023;20202;GUARATINGUETA;100.0;0.0;0.0;95.9;4.05;0.05;89.67;10.11;0.22;202022023
81;2023;10401;CAIEIRAS;99.93;0.07;0.0;98.37;1.4;0.23;96.75;2.55;0.7;104012023
82;2023;10501;MOGI DAS CRUZES;100.0;0.0;0.0;98.69;1.15;0.16;96.32;2.77;0.91;105012023
83;2023;20408;LIMEIRA;100.0;0.0;0.0;99.52;0.43;0.05;98.17;1.5;0.33;204082023
84;2023;20102;SANTOS;99.73;0.27;0.0;97.88;1.99;0.13;94.03;5.32;0.65;201022023
85;2023;20308;SOROCABA;99.96;0.02;0.02;99.25;0.64;0.11;97.53;1.64;0.83;203082023
86;2023;20205;SAO JOSE DOS CAMPOS;99.73;0.27;0.0;97.4;2.53;0.07;93.64;6.19;0.17;202052023
87;2023;10318;SUL 3;99.17;0.77;0.06;92.56;7.15;0.29;88.2;10.81;0.99;103182023
88;2023;10312;CENTRO OESTE;99.8;0.14;0.06;97.49;2.38;0.13;87.99;9.34;2.67;103122023
89;2023;21101;MIRACATU;97.36;2.64;0.0;99.55;0.43;0.02;99.08;0.83;0.09;211012023
90;2023;20305;ITAPEVA;0.0;0.0;0.0;99.8;0.2;0.0;98.91;1.09;0.0;203052023
0;2022;10102;CENTRO;99.13;0.51;0.36;96.02;3.47;0.51;91.16;7.33;1.51;101022022
1;2022;20304;ITAPETININGA;99.9;0.0;0.1;98.82;0.96;0.22;96.44;2.54;1.02;203042022
2;2022;10703;ITAPEVI;0.0;0.0;0.0;95.66;3.58;0.76;90.23;7.51;2.26;107032022
3;2022;10503;ITAQUAQUECETUBA;99.33;0.67;0.0;96.61;2.83;0.56;91.66;6.94;1.4;105032022
4;2022;10603;SANTO ANDRE;98.65;1.26;0.09;96.97;2.78;0.25;91.58;7.51;0.91;106032022
5;2022;10208;LESTE 4;99.3;0.39;0.31;95.9;3.44;0.66;84.29;12.4;3.31;102082022
6;2022;10211;LESTE 3;98.29;0.87;0.84;94.02;3.79;2.19;83.78;8.93;7.29;102112022
7;2022;20504;FRANCA;99.79;0.18;0.03;98.3;1.12;0.58;94.01;4.01;1.98;205042022
8;2022;20404;CAMPINAS OESTE;99.0;0.67;0.33;96.05;2.73;1.22;90.11;6.07;3.82;204042022
9;2022;20710;SAO JOSE DO RIO PRETO;100.0;0.0;0.0;97.7;2.07;0.23;92.01;5.93;2.06;207102022
10;2022;20604;LINS;98.59;1.38;0.03;97.84;1.54;0.62;89.85;6.2;3.95;206042022
11;2022;20410;PIRACICABA;99.83;0.17;0.0;98.85;0.59;0.56;96.32;1.56;2.12;204102022
12;2022;20908;SANTO ANASTACIO;99.71;0.29;0.0;97.3;2.37;0.33;86.62;8.46;4.92;209082022
13;2022;20802;ARACATUBA;100.0;0.0;0.0;99.57;0.29;0.14;98.08;1.49;0.43;208022022
14;2022;21102;REGISTRO;97.44;2.56;0.0;97.66;1.86;0.48;92.85;5.06;2.09;211022022
15;2022;20510;SAO JOAQUIM DA BARRA;99.73;0.27;0.0;98.84;0.7;0.46;94.48;3.95;1.57;205102022
16;2022;10314;SUL 2;99.53;0.22;0.25;96.38;2.88;0.74;90.64;7.48;1.88;103142022
17;2022;20301;APIAI;99.64;0.24;0.12;99.13;0.34;0.53;97.25;1.65;1.1;203012022
18;2022;10606;SAO BERNARDO DO CAMPO;68.0;0.0;32.0;96.77;2.71;0.52;89.2;9.53;1.27;106062022
19;2022;10205;LESTE 5;99.71;0.24;0.05;95.99;3.58;0.43;87.34;10.88;1.78;102052022
20;2022;20407;JUNDIAI;0.0;0.0;0.0;98.47;1.29;0.24;95.2;3.54;1.26;204072022
21;2022;20501;ARARAQUARA;99.89;0.06;0.05;97.83;1.76;0.41;91.9;6.32;1.78;205012022
22;2022;10706;TABOAO DA SERRA;99.91;0.02;0.07;98.2;1.24;0.56;94.01;4.27;1.72;107062022
23;2022;20401;AMERICANA;99.67;0.27;0.06;97.97;1.41;0.62;90.82;5.8;3.38;204012022
24;2022;20507;RIBEIRAO PRETO;98.38;1.15;0.47;93.41;4.55;2.04;83.53;10.96;5.51;205072022
25;2022;10601;DIADEMA;99.85;0.12;0.03;98.92;1.03;0.05;95.39;3.64;0.97;106012022
26;2022;20419;CAPIVARI;0.0;0.0;0.0;97.63;1.39;0.98;93.67;3.29;3.04;204192022
27;2022;20204;PINDAMONHANGABA;0.0;0.0;0.0;99.4;0.48;0.12;94.06;4.57;1.37;202042022
28;2022;10317;SUL 1;99.57;0.28;0.15;94.81;4.43;0.76;87.57;9.94;2.49;103172022
29;2022;10701;CARAPICUIBA;99.16;0.48;0.36;96.33;2.36;1.31;90.43;6.7;2.87;107012022
30;2022;10403;GUARULHOS NORTE;99.7;0.15;0.15;97.25;2.24;0.51;89.22;8.98;1.8;104032022
31;2022;20502;BARRETOS;0.0;0.0;0.0;99.69;0.2;0.11;98.53;1.13;0.34;205022022
32;2022;21006;TUPA;99.71;0.29;0.0;98.78;1.01;0.21;95.02;4.23;0.75;210062022
33;2022;20602;JAU;100.0;0.0;0.0;98.08;1.79;0.13;95.57;3.81;0.62;206022022
34;2022;20310;VOTORANTIM;100.0;0.0;0.0;98.48;0.52;1.0;94.45;1.75;3.8;203102022
35;2022;20702;FERNANDOPOLIS;100.0;0.0;0.0;99.32;0.51;0.17;98.7;0.99;0.31;207022022
36;2022;20207;JACAREI;100.0;0.0;0.0;98.08;1.55;0.37;90.5;6.65;2.85;202072022
37;2022;10704;OSASCO;100.0;0.0;0.0;96.3;2.87;0.83;89.52;7.61;2.87;107042022
38;2022;20413;SAO JOAO DA BOA VISTA;99.73;0.27;0.0;96.88;2.31;0.81;89.13;7.98;2.89;204132022
39;2022;20711;VOTUPORANGA;100.0;0.0;0.0;99.48;0.19;0.33;96.15;1.72;2.13;207112022
40;2022;20307;SAO ROQUE;0.0;0.0;0.0;98.78;1.1;0.12;94.97;4.03;1.0;203072022
41;2022;21003;MARILIA;99.73;0.13;0.14;98.41;1.19;0.4;92.4;6.12;1.48;210032022
42;2022;20313;ITARARE;99.92;0.08;0.0;98.88;0.64;0.48;93.84;2.41;3.75;203132022
43;2022;20703;JALES;99.63;0.37;0.0;99.21;0.77;0.02;97.26;2.64;0.1;207032022
44;2022;20417;CAMPINAS LESTE;99.8;0.16;0.04;97.83;2.04;0.13;92.58;6.9;0.52;204172022
45;2022;20208;CARAGUATATUBA;100.0;0.0;0.0;99.16;0.84;0.0;96.84;3.13;0.03;202082022
